date,GTrends_BTC,GTrends_ETH
2023-08-07,26,3
2023-08-08,26,3
2023-08-09,26,3
2023-08-10,26,3
2023-08-11,26,3
2023-08-12,26,3
2023-08-13,30,4
2023-08-14,30,4
2023-08-15,30,4
2023-08-16,30,4
2023-08-17,30,4
2023-08-18,30,4
2023-08-19,30,4
2023-08-20,27,3
2023-08-21,27,3
2023-08-22,27,3
2023-08-23,27,3
2023-08-24,27,3
2023-08-25,27,3
2023-08-26,27,3
2023-08-27,27,3
2023-08-28,27,3
2023-08-29,27,3
2023-08-30,27,3
2023-08-31,27,3
2023-09-01,27,3
2023-09-02,27,3
2023-09-03,24,3
2023-09-04,24,3
2023-09-05,24,3
2023-09-06,24,3
2023-09-07,24,3
2023-09-08,24,3
2023-09-09,24,3
2023-09-10,23,3
2023-09-11,23,3
2023-09-12,23,3
2023-09-13,23,3
2023-09-14,23,3
2023-09-15,23,3
2023-09-16,23,3
2023-09-17,23,3
2023-09-18,23,3
2023-09-19,23,3
2023-09-20,23,3
2023-09-21,23,3
2023-09-22,23,3
2023-09-23,23,3
2023-09-24,23,3
2023-09-25,23,3
2023-09-26,23,3
2023-09-27,23,3
2023-09-28,23,3
2023-09-29,23,3
2023-09-30,23,3
2023-10-01,23,3
2023-10-02,23,3
2023-10-03,23,3
2023-10-04,23,3
2023-10-05,23,3
2023-10-06,23,3
2023-10-07,23,3
2023-10-08,23,3
2023-10-09,23,3
2023-10-10,23,3
2023-10-11,23,3
2023-10-12,23,3
2023-10-13,23,3
2023-10-14,23,3
2023-10-15,27,3
2023-10-16,27,3
2023-10-17,27,3
2023-10-18,27,3
2023-10-19,27,3
2023-10-20,27,3
2023-10-21,27,3
2023-10-22,38,4
2023-10-23,38,4
2023-10-24,38,4
2023-10-25,38,4
2023-10-26,38,4
2023-10-27,38,4
2023-10-28,38,4
2023-10-29,31,4
2023-10-30,31,4
2023-10-31,31,4
2023-11-01,31,4
2023-11-02,31,4
2023-11-03,31,4
2023-11-04,31,4
2023-11-05,33,5
2023-11-06,33,5
2023-11-07,33,5
2023-11-08,33,5
2023-11-09,33,5
2023-11-10,33,5
2023-11-11,33,5
2023-11-12,31,5
2023-11-13,31,5
2023-11-14,31,5
2023-11-15,31,5
2023-11-16,31,5
2023-11-17,31,5
2023-11-18,31,5
2023-11-19,30,4
2023-11-20,30,4
2023-11-21,30,4
2023-11-22,30,4
2023-11-23,30,4
2023-11-24,30,4
2023-11-25,30,4
2023-11-26,29,4
2023-11-27,29,4
2023-11-28,29,4
2023-11-29,29,4
2023-11-30,29,4
2023-12-01,29,4
2023-12-02,29,4
2023-12-03,44,7
2023-12-04,44,7
2023-12-05,44,7
2023-12-06,44,7
2023-12-07,44,7
2023-12-08,44,7
2023-12-09,44,7
2023-12-10,36,5
2023-12-11,36,5
2023-12-12,36,5
2023-12-13,36,5
2023-12-14,36,5
2023-12-15,36,5
2023-12-16,36,5
2023-12-17,34,5
2023-12-18,34,5
2023-12-19,34,5
2023-12-20,34,5
2023-12-21,34,5
2023-12-22,34,5
2023-12-23,34,5
2023-12-24,33,5
2023-12-25,33,5
2023-12-26,33,5
2023-12-27,33,5
2023-12-28,33,5
2023-12-29,33,5
2023-12-30,33,5
2023-12-31,42,5
2024-01-01,42,5
2024-01-02,42,5
2024-01-03,42,5
2024-01-04,42,5
2024-01-05,42,5
2024-01-06,42,5
2024-01-07,63,7
2024-01-08,63,7
2024-01-09,63,7
2024-01-10,63,7
2024-01-11,63,7
2024-01-12,63,7
2024-01-13,63,7
2024-01-14,37,5
2024-01-15,37,5
2024-01-16,37,5
2024-01-17,37,5
2024-01-18,37,5
2024-01-19,37,5
2024-01-20,37,5
2024-01-21,34,4
2024-01-22,34,4
2024-01-23,34,4
2024-01-24,34,4
2024-01-25,34,4
2024-01-26,34,4
2024-01-27,34,4
2024-01-28,29,4
2024-01-29,29,4
2024-01-30,29,4
2024-01-31,29,4
2024-02-01,29,4
2024-02-02,29,4
2024-02-03,29,4
2024-02-04,28,4
2024-02-05,28,4
2024-02-06,28,4
2024-02-07,28,4
2024-02-08,28,4
2024-02-09,28,4
2024-02-10,28,4
2024-02-11,43,6
2024-02-12,43,6
2024-02-13,43,6
2024-02-14,43,6
2024-02-15,43,6
2024-02-16,43,6
2024-02-17,43,6
2024-02-18,35,6
2024-02-19,35,6
2024-02-20,35,6
2024-02-21,35,6
2024-02-22,35,6
2024-02-23,35,6
2024-02-24,35,6
2024-02-25,62,10
2024-02-26,62,10
2024-02-27,62,10
2024-02-28,62,10
2024-02-29,62,10
2024-03-01,62,10
2024-03-02,62,10
2024-03-03,74,12
2024-03-04,74,12
2024-03-05,74,12
2024-03-06,74,12
2024-03-07,74,12
2024-03-08,74,12
2024-03-09,74,12
2024-03-10,67,11
2024-03-11,67,11
2024-03-12,67,11
2024-03-13,67,11
2024-03-14,67,11
2024-03-15,67,11
2024-03-16,67,11
2024-03-17,57,8
2024-03-18,57,8
2024-03-19,57,8
2024-03-20,57,8
2024-03-21,57,8
2024-03-22,57,8
2024-03-23,57,8
2024-03-24,49,7
2024-03-25,49,7
2024-03-26,49,7
2024-03-27,49,7
2024-03-28,49,7
2024-03-29,49,7
2024-03-30,49,7
2024-03-31,44,6
2024-04-01,44,6
2024-04-02,44,6
2024-04-03,44,6
2024-04-04,44,6
2024-04-05,44,6
2024-04-06,44,6
2024-04-07,46,6
2024-04-08,46,6
2024-04-09,46,6
2024-04-10,46,6
2024-04-11,46,6
2024-04-12,46,6
2024-04-13,46,6
2024-04-14,61,6
2024-04-15,61,6
2024-04-16,61,6
2024-04-17,61,6
2024-04-18,61,6
2024-04-19,61,6
2024-04-20,61,6
2024-04-21,39,4
2024-04-22,39,4
2024-04-23,39,4
2024-04-24,39,4
2024-04-25,39,4
2024-04-26,39,4
2024-04-27,39,4
2024-04-28,39,5
2024-04-29,39,5
2024-04-30,39,5
2024-05-01,39,5
2024-05-02,39,5
2024-05-03,39,5
2024-05-04,39,5
2024-05-05,32,4
2024-05-06,32,4
2024-05-07,32,4
2024-05-08,32,4
2024-05-09,32,4
2024-05-10,32,4
2024-05-11,32,4
2024-05-12,30,4
2024-05-13,30,4
2024-05-14,30,4
2024-05-15,30,4
2024-05-16,30,4
2024-05-17,30,4
2024-05-18,30,4
2024-05-19,34,10
2024-05-20,34,10
2024-05-21,34,10
2024-05-22,34,10
2024-05-23,34,10
2024-05-24,34,10
2024-05-25,34,10
2024-05-26,28,6
2024-05-27,28,6
2024-05-28,28,6
2024-05-29,28,6
2024-05-30,28,6
2024-05-31,28,6
2024-06-01,28,6
2024-06-02,30,5
2024-06-03,30,5
2024-06-04,30,5
2024-06-05,30,5
2024-06-06,30,5
2024-06-07,30,5
2024-06-08,30,5
2024-06-09,28,5
2024-06-10,28,5
2024-06-11,28,5
2024-06-12,28,5
2024-06-13,28,5
2024-06-14,28,5
2024-06-15,28,5
2024-06-16,28,4
2024-06-17,28,4
2024-06-18,28,4
2024-06-19,28,4
2024-06-20,28,4
2024-06-21,28,4
2024-06-22,28,4
2024-06-23,28,4
2024-06-24,28,4
2024-06-25,28,4
2024-06-26,28,4
2024-06-27,28,4
2024-06-28,28,4
2024-06-29,28,4
2024-06-30,31,4
2024-07-01,31,4
2024-07-02,31,4
2024-07-03,31,4
2024-07-04,31,4
2024-07-05,31,4
2024-07-06,31,4
2024-07-07,31,4
2024-07-08,31,4
2024-07-09,31,4
2024-07-10,31,4
2024-07-11,31,4
2024-07-12,31,4
2024-07-13,31,4
2024-07-14,35,5
2024-07-15,35,5
2024-07-16,35,5
2024-07-17,35,5
2024-07-18,35,5
2024-07-19,35,5
2024-07-20,35,5
2024-07-21,34,6
2024-07-22,34,6
2024-07-23,34,6
2024-07-24,34,6
2024-07-25,34,6
2024-07-26,34,6
2024-07-27,34,6
2024-07-28,32,4
2024-07-29,32,4
2024-07-30,32,4
2024-07-31,32,4
2024-08-01,32,4
2024-08-02,32,4
2024-08-03,32,4
2024-08-04,47,7
2024-08-05,47,7
2024-08-06,47,7
